Country,electricity,mortality,emissions,emissionsCapita,CPI,Current health expenditure (% of GDP),GDPGrowth,GDP,EducationSpending,Internet,lifeexp,Literacy,popLargeCity,Unemployment,population,continent
Jordan,100,22.622,26100,2.667119021,119.3298693,8.11925125,2.087114551,3303.416034,11.18813038,66.79031443,74.292,..,1966088,18.14,10220604,Asia
Kazakhstan,100,21.64,225560,12.50486756,168.9512996,3.12588406,4.1,10867.73874,11.41991043,76.42674823,72.95,..,1772779,4.9,18815231,Asia
Kenya,56.09143066,29.296,18890,0.376136379,172.4282386,4.8369956,4.805696525,1156.432827,17.70870018,17.82710021,65.909,..,4222389,..,53968739,Africa
Kiribati,98.6,28.294,80,0.70081382,101.8167556,10.77510738,0.89150817,1763.307233,..,14.58181818,67.851,..,..,..,119760,..
"Korea, Rep.",100,7,625350,12.17536474,113.0508001,7.10694933,3.15963574,27492.57625,..,95.06942188,82.62682927,..,9941235,3.65,..,Asia
"Korea,South",44.83608627,13.91,22380,0.880069286,..,..,..,..,..,..,71.91,..,3015132,..,..,Asia
"Korea,South",44.83608627,13.91,22380,0.880069286,..,..,..,..,..,..,71.91,..,3015132,..,..,Africa
"Korea,South",44.83608627,13.91,22380,0.880069286,..,..,..,..,..,..,71.91,..,3015132,..,..,Africa
Kosovo,99.8,16.2,..,..,113.789451,..,4.226086496,4133.857706,..,83.89359681,71.99512195,..,..,30.34,..,Europe
Kuwait,100,14.651,89720,22.11975932,124.5576318,5.29526615,-4.712106209,33359.40311,..,97.99998933,75.311,96.03594971,2841715,..,4281320,Asia
Kyrgyz Republic,100,24.8,9340,1.506889097,151.5925936,6.18586302,4.739937225,1072.493694,15.7302599,38.19903776,71.2,..,975889,6.89,..,North America
Kyrgyz Republic,100,24.8,9340,1.506889097,151.5925936,6.18586302,4.739937225,1072.493694,15.7302599,38.19903776,71.2,..,975889,6.89,..,Africa
Lao PDR,93.6,23.955,18510,2.662148349,128.8680783,2.52514863,6.892530873,1706.794215,..,25.51043508,67.277,..,657108,9.41,..,Asia
Lao PDR,93.6,23.955,18510,2.662148349,128.8680783,2.52514863,6.892530873,1706.794215,..,25.51043508,67.277,..,657108,9.41,..,Africa
Latvia,100,10.7,7120,3.665855236,110.8520017,6.00696659,3.25072029,15507.64997,11.96763039,80.114077,74.62926829,..,639982,8.72,1882408,Europe
Lebanon,100,17.67,29280,4.293649871,118.9993072,8.44765568,0.850699559,6363.882328,..,78.18077489,78.833,..,2331897,..,6819976,Asia
Lesotho,33.7,27.17,2440,1.166608974,141.4509021,8.94750309,-3.141949946,1273.299635,15.11530972,39,52.947,..,..,..,2145194,Africa
Liberia,24.2,33.426,1260,0.267958311,180.579023,8.15604591,2.468626095,548.0110045,8.258210182,16.3,63.295,48.30136108,1366976,..,5077411,Africa
Liberia,24.2,33.426,1260,0.267958311,180.579023,8.15604591,2.468626095,548.0110045,8.258210182,16.3,63.295,48.30136108,1366976,..,5077411,Africa
Libya,70.33727264,19.38,56810,8.632790044,..,..,26.68090263,7085.813226,..,21.75892062,72.52,..,1149730,..,6887247,Africa
Liechtenstein,100,8.9,160,4.232244412,..,..,..,..,..,99.54661245,83.74634146,..,..,..,38147,Europe
Lithuania,100,10.1,11220,3.966902878,112.6424898,6.47619867,4.282596951,16903.67817,11.82433987,77.61525651,75.4804878,..,534453,7.07,2715340,Europe
Luxembourg,100,10.4,9000,15.09216281,111.4132314,5.25779152,1.801180955,109452.96,8.534049988,97.36296032,82.09512195,..,..,5.52,627704,Europe
"Macao SAR, China",100,11.2,..,..,136.0990911,..,9.982505239,56071.75173,13.47624969,83.17408907,83.989,..,622567,1.99,..,Asia
"Macao SAR, China",100,11.2,..,..,136.0990911,..,9.982505239,56071.75173,13.47624969,83.17408907,83.989,..,622567,1.99,..,Europe
Madagascar,24.1,32.897,3500,0.13687642,160.7110191,5.5050993,3.933316171,481.3836938,..,..,66.311,..,2903952,..,27808395,Africa
Malawi,12.7,34.593,1500,0.084888716,340.2421245,9.64243031,4.000030517,512.6475561,14.34010983,13.78216439,63.279,..,986455,5.76,19211425,Africa
Malawi,12.7,34.593,1500,0.084888716,340.2421245,9.64243031,4.000030517,512.6475561,14.34010983,13.78216439,63.279,..,986455,5.76,19211425,Africa
Malaysia,100,16.867,222890,7.165808462,119.6050658,3.71246052,5.81272241,11736.98928,21.67765045,80.14047901,75.828,95.08264923,7318545,3.41,32436963,Asia
Maldives,99.8,14.891,1820,3.666412838,136.4453368,9.02997589,7.210479788,7837.44978,..,63.18566588,78.325,..,..,..,542151,Asia
Mali,34.78,42.078,5050,0.272789703,110.2292627,4.10388279,5.305456084,766.1409098,16.53433037,15.6,58.452,..,2368347,7.41,20346106,Africa
Malta,100,9.2,1520,3.247870188,110.3420468,9.19666958,8.119425289,28283.03491,13.46864986,81.01191108,82.34634146,..,..,4,441750,Europe
Marshall Islands,94.21553802,..,180,3.100614955,..,16.40007591,3.382740806,2933.999057,..,38.70116262,..,..,..,..,59259,..
Mauritania,42.9,34.132,3800,0.887315176,128.0781676,4.50495195,3.497175006,1715.607547,..,20.80096366,64.464,53.49758911,1154050,10.34,4669775,Africa
Mauritius,99.61,10.7,4180,3.305359031,125.3575934,5.71669579,3.814152115,10199.47936,19.9340992,55.4032403,74.51463415,..,..,6.75,1272140,Africa
Mexico,100,17.918,471810,3.781215828,130.1978025,5.51889515,2.113129135,10277.88335,17.57673073,63.85224909,74.947,94.97277832,21500251,3.42,129166028,North America
"Micronesia, Fed. Sts.",78.58091736,22.937,170,1.525197154,112.282554,12.31883812,2.682185944,2751.66302,..,35.30405287,67.618,..,..,..,..,Asia
Moldova,99.98,10.274,8160,2.961717622,153.8424955,7.01328516,4.69079339,3321.62208,18.33230019,76.12451989,71.717,..,515129,4.1,4032294,Europe
Monaco,100,..,..,..,..,1.64266789,-3.40000081,186185.1052,6.980629921,97.05297684,..,..,..,..,39290,Europe
Mongolia,93.87606049,24.833,19470,6.252834169,170.8005885,4.00506115,5.337037933,3997.474319,12.64562035,23.71426517,69.509,..,1466589,6.36,3287242,Asia
Montenegro,100,11.775,2230,3.583060319,113.3600412,..,4.716438739,7852.646157,..,71.27233254,76.667,..,..,16.07,628080,Europe
Morocco,100,19.399,65930,1.852941845,108.7695027,5.23623848,4.248949211,3305.869524,..,61.76221201,76.218,..,3653152,..,36985624,Africa
Mozambique,24.3,37.876,6020,0.210129447,170.7047775,8.14048672,3.741317593,589.7190745,18.33186913,7.8,59.309,60.65542984,1604256,..,31398811,Africa
Myanmar,69.8148366,17.703,31400,0.588207515,144.6062642,5.09039927,6.404977325,1541.84705,10.09710026,23.62108195,66.558,..,5053341,1.56,54473253,..
Namibia,52.5,29.105,4330,1.802197016,146.0320916,8.28922272,-1.027250823,6076.160969,..,36.83740647,63.021,..,391736,..,2548663,Africa
Namibia,52.5,29.105,4330,1.802197016,146.0320916,8.28922272,-1.027250823,6076.160969,..,36.83740647,63.021,..,391736,..,2548663,Africa
Namibia,52.5,29.105,4330,1.802197016,146.0320916,8.28922272,-1.027250823,6076.160969,..,36.83740647,63.021,..,391736,..,2548663,Africa
Nauru,99.88204956,..,70,6.618133686,..,11.58332348,-5.747126437,9218.801815,..,62.38512451,..,..,..,..,10836,..
Nepal,89.92308044,20.196,11030,0.399165018,171.7976016,5.48825455,8.977279356,781.2442965,17.09638977,21.40351043,70.169,..,1277463,11.36,29225196,Asia
Netherlands,100,9.9,155910,9.100887639,111.0420628,10.05979824,2.910902513,53942.08506,12.19252968,93.19727891,81.76097561,..,1123080,4.84,17141544,Europe
New Caledonia,100,14.5,..,..,..,..,..,..,..,82.0058408,77.53902439,..,..,..,285972,Oceania
New Caledonia,100,14.5,..,..,..,..,..,..,..,82.0058408,77.53902439,..,..,..,285972,Europe
New Caledonia,100,14.5,..,..,..,..,..,..,..,82.0058408,77.53902439,..,..,..,285972,Oceania
New Zealand,100,12.38,32920,6.838956291,110.6515787,9.01967621,3.613281553,37815.75143,16.65535927,90.81109307,81.65853659,..,1525666,4.739999771,4829021,Oceania
New Zealand,100,12.38,32920,6.838956291,110.6515787,9.01967621,3.613281553,37815.75143,16.65535927,90.81109307,81.65853659,..,1525666,4.739999771,4829021,Oceania
Nicaragua,86.06150055,21.06,5400,0.845752981,147.1564659,8.31693268,4.631383681,1957.873253,..,27.86304001,74.068,..,1040748,3.3,6638075,North America
